74125	4	quad bus buffer,  three-state  outputs, negative enable			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT125.pdf		
74126	4	quad bus buffer, three-state outputs, positive enable			HC/HCT	https://web.archive.org/web/20141222125323/http://www.nxp.com/documents/data_sheet/74HC_HCT126_CNV.pdf		
74128	4	quad 2-input NOR line driver						
74130	4	quad 2-input AND gate buffer, 30 V open collector outputs						
74131	4	quad 2-input AND gate buffer, 15 V open collector outputs						
74132	4	quad 2-input NAND Schmitt trigger			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT132.pdf		
74133	1	13-input NAND gate						
74134	1	12-input NAND gate, three-state output						
74135	4	quad exclusive-or/NOR gate						
74136	4	quad 2-input  XOR gate , open collector outputs						
74137	1	3 to 8-line decoder/ demultiplexer , address latch, inverting outputs			HC	http://www.nxp.com/documents/data_sheet/74HC137.pdf		
74138	1	3 to 8-line decoder/demultiplexer, inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf		
74139	2	dual 2 to 4-line decoder/demultiplexer, inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT139.pdf		
74140	2	dual 4-input NAND line driver						
74141	1	BCD to decimal decoder/driver for  cold-cathode  indicator/Nixie tube						
74142	1	decade counter/latch/decoder/driver for Nixie tubes						
74143	1	decade counter/latch/decoder/7-segment driver, 15 mA constant current						
74144	1	decade counter/latch/decoder/7-segment driver, 15 V open collector outputs						
74145	1	BCD to decimal decoder/driver						
74147	1	10-line to 4-line priority encoder			HC/HCT	https://web.archive.org/web/20120516001148/http://www.nxp.com/documents/data_sheet/74HC_HCT147_CNV.pdf		
74148	1	8-line to 3-line priority encoder						
74149	1	8-line to 8-line priority encoder						
74150	1	16-line to 1-line data selector/ multiplexer						
74151	1	8-line to 1-line data selector/multiplexer			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT151.pdf		
74152	1	8-line to 1-line data selector/multiplexer						
74153	2	dual 4-line to 1-line data selector/multiplexer, non-inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT153_CNV.pdf		
74154	1	4-line to 16-line decoder/demultiplexer, inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT154.pdf		
74155	2	dual 2-line to 4-line decoder/demultiplexer, inverting outputs						
74156	2	dual 2-line to 4-line decoder/demultiplexer, open collector inverting outputs						
74157	4	quad 2-line to 1-line data selector/multiplexer, non-inverting outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT157.pdf		
74158	4	quad 2-line to 1-line data selector/multiplexer, inverting outputs			HC	http://www.nxp.com/documents/data_sheet/74HC158.pdf		
74159	1	4-line to 16-line decoder/demultiplexer, open collector outputs						
74160	1	synchronous presettable 4-bit decade counter, asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT160_CNV.pdf		
74161	1	synchronous presettable 4-bit binary counter, asynchronous clear			HC/HCT	http://assets.nexperia.com/documents/data-sheet/74HC161.pdf		
74162	1	synchronous presettable 4-bit decade counter, synchronous clear			HC/HCT	http://www.datasheetcatalog.org/datasheet/philips/74HC162.pdf		
74163	1	synchronous presettable 4-bit binary counter, synchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT163.pdf		
74164	1	8-bit parallel-out serial shift register, asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT164.pdf		
74165	1	8-bit serial shift register, parallel load, complementary outputs			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT165.pdf		
74166	1	parallel-load 8-bit shift register			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT166.pdf		
74167	1	synchronous decade rate multiplier						
74168	1	synchronous presettable 4-bit up/down decade counter						
74169	1	synchronous presettable 4-bit up/down binary counter						
74170	1	4 by 4 register file, open collector outputs						
74171	4	quad D-type flip-flops, clear						
74172	1	16-bit multiple port register file, three-state outputs						
74173	4	quad D flip-flop, three-state outputs and asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT173_CNV.pdf		
74174	6	hex D flip-flop, common asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT174_CNV.pdf		
74175	4	quad D edge-triggered flip-flop, complementary outputs and asynchronous clear			HC/HCT	http://www.nxp.com/documents/data_sheet/74HC_HCT175.pdf		
74176	1	presettable decade (bi-quinary) counter/latch						
74177	1	presettable binary counter/latch						
74178	1	4-bit parallel-access shift register						
74179	1	4-bit parallel-access shift register, asynchronous clear and complementary Q d  outputs						
74180	1	9-bit odd/even  parity bit  generator and checker						
74181	1	4-bit arithmetic logic unit and function generator			LS	http://www.mouser.com/ds/2/405/sn74ls181-444736.pdf		
74182	1	lookahead carry generator						
74183	2	dual carry-save  full adder						
